,frame,passer_name,passer_initial,passer_coord,interceptor_name,interceptor_initial,interceptor_coord,passer_team,interceptor_team,passer_x,passer_y,interceptor_x,interceptor_y
0,47,신대근,SDG,"[606, 38]",김성일,KSI,"[610, 81]",1,0,445.538961038961,156.2922077922078,492.68888888888887,161.9111111111111
1,136,김성일,KSI,"[378, 227]",신대근,SDG,"[389, 87]",0,1,492.68888888888887,161.9111111111111,445.538961038961,156.2922077922078
2,159,신대근,SDG,"[656, 33]",가윤성,KYS,"[708, 92]",1,0,445.538961038961,156.2922077922078,757.975,190.675
3,163,가윤성,KYS,"[692, 85]",손명준,SMJ,"[574, 294]",0,1,757.975,190.675,555.3863636363636,359.54545454545456
4,209,손명준,SMJ,"[653, 388]",서한울,SHW,"[641, 365]",1,0,555.3863636363636,359.54545454545456,446.97115384615387,345.15384615384613
5,212,서한울,SHW,"[634, 365]",오지영,OJY,"[575, 378]",0,1,446.97115384615387,345.15384615384613,347.37301587301585,175.22222222222223
6,221,오지영,OJY,"[563, 378]",서한울,SHW,"[602, 369]",1,0,347.37301587301585,175.22222222222223,446.97115384615387,345.15384615384613
7,335,강동욱,KDW,"[409, 312]",신대근,SDG,"[398, 349]",0,1,419.62025316455697,257.8354430379747,445.538961038961,156.2922077922078
8,356,손명준,SMJ,"[375, 388]",서한울,SHW,"[435, 341]",1,0,555.3863636363636,359.54545454545456,446.97115384615387,345.15384615384613
9,375,강동욱,KDW,"[440, 289]",오지영,OJY,"[398, 153]",0,1,419.62025316455697,257.8354430379747,347.37301587301585,175.22222222222223
10,412,손명준,SMJ,"[207, 364]",강동욱,KDW,"[470, 267]",1,0,555.3863636363636,359.54545454545456,419.62025316455697,257.8354430379747
11,447,강동욱,KDW,"[495, 248]",신대근,SDG,"[436, 215]",0,1,419.62025316455697,257.8354430379747,445.538961038961,156.2922077922078
12,454,신대근,SDG,"[451, 241]",서한울,SHW,"[419, 284]",1,0,445.538961038961,156.2922077922078,446.97115384615387,345.15384615384613
